"","temperatures","vpds"
"178",16.0978,8.269276
"179",18.366388,7.0420775
"180",19.76893,6.443306
"181",20.913408,4.830179
"182",18.164072,2.0153008
"183",18.068737,2.1926692
"184",15.689862,3.728735
"185",12.838953,2.6835413
"186",11.519496,2.7667735
"187",12.107902,2.4233007
"188",12.495368,7.4277005
"189",16.259525,8.19964
"190",17.251692,8.7213955
"191",17.853132,7.2233186
"192",18.862522,6.7321463
"193",20.302483,6.629354
"194",19.987541,5.954826
"195",18.847143,4.9904084
"196",16.957182,4.924466
"197",13.763728,3.7141113
"198",12.173688,4.5027065
"199",10.239404,5.810019
"200",12.047729,4.3657537
"201",14.066115,6.503789
"202",17.327063,9.243047
"203",20.265305,8.786031
"204",19.752567,4.6908226
"205",20.177332,4.5352664
"206",18.880589,2.9595602
"207",19.71065,5.2693477
"208",15.472404,4.2642927
"209",13.607738,4.3124065
"210",12.070108,2.8203387
"211",10.365122,3.7072785
"212",12.2866335,5.81092
"213",13.448049,5.253296
"214",17.03948,7.642693
"215",19.1739,6.3042912
"216",18.579794,4.202222
"217",19.303452,4.6900177
"218",20.277382,5.267535
"219",19.334816,3.149547
"220",17.694168,3.954506
"221",15.081164,6.542668
"222",12.045516,3.591347
"223",12.185342,4.613277
"224",12.171362,4.7768803
"225",14.592792,5.2108335
"226",14.954157,7.341384
"227",18.433115,8.923289
"228",20.32411,6.824137
"229",21.53909,4.4096956
"230",21.470207,8.09222
"231",19.730879,2.6672254
"232",15.235403,3.6657927
"233",14.035726,2.5211298
"234",12.839512,3.4603105
"235",11.441255,5.8280044
"236",12.4111395,8.333132
"237",15.641753,10.560278
"238",17.359764,3.4865139
"239",16.608526,4.3604
"240",19.878817,5.754198
"241",20.701834,7.2145
"242",19.44437,3.8316658
"243",18.772217,2.5504081
"244",17.295328,4.582548
"245",13.41877,4.924287
"246",11.287535,4.8176303
"247",11.603524,5.552778
"248",11.437595,8.340522
"249",14.378167,5.459493
"250",16.374111,3.6440563
"251",18.052992,9.7753105
"252",19.838692,6.714102
"253",21.80256,9.443812
"254",20.537365,7.7361035
"255",20.162184,5.7599306
"256",16.564396,3.14591
"257",13.7998905,4.445465
"258",12.250408,3.3784418
"259",11.754744,5.193497
"260",12.372469,7.1377006
"261",15.188988,10.012407
"262",16.81326,8.777592
"263",19.368431,12.959462
"264",21.194626,11.78741
"265",21.588928,6.9637046
"266",20.089079,2.0575266
"267",18.124308,4.220849
"268",16.95809,6.6595984
"269",12.832524,4.080749
"270",12.104309,3.503586
"271",11.677984,4.2341433
"272",12.153145,6.830178
"273",14.923054,6.1807528
"274",16.859997,7.057741
"275",18.698885,9.404802
"276",19.949415,4.5189314
"277",19.313942,3.775151
"278",19.347736,3.5723057
"279",18.28541,2.331074
"280",15.182116,3.574506
"281",13.017814,2.827477
"282",11.173005,3.5867481
"283",11.06952,3.9155152
"284",12.525815,5.3171735
"285",14.050186,6.5174785
"286",16.811674,6.333902
"287",17.019989,3.7083683
"288",19.028776,4.417802
